Matricula,Idade,Gênero,Departamento,Cargo,Banda Salarial,Status,Motivo do Desligamento,Escolaridade,Estado Civil,Última Promoção (anos),Horas-extras (média),Tempo de Empresa,Engajamento,Satisfação,Desempenho,Apoio da Liderança,Percepção de Desenvolvimento,Probabilidade de Saída
1527,27,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,2,1,1,2,2,2,3,2,0.84
1146,35,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,9,2,2,3,3,2,0.84
237,37,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,2,1,4,3,3,3,3,3,1.0
1889,37,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Pós-Graduação,Casado,0,0,8,3,3,2,3,3,1.0
57,45,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,5,3,3,2,3,3,1.0
1226,40,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,2,0,2,3,3,3,3,3,1.0
190,26,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,1,10,3,3,2,3,3,1.0
827,46,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,3,3,3,2,3,3,1.0
991,50,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,0,3,3,2,3,3,1.0
336,51,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,0,5,3,3,2,3,2,1.0
1842,56,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,1,1,7,3,3,2,3,3,1.0
1000,42,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,3,8,2,2,3,3,2,0.84
1210,60,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Ensino Superior,Casado,,0,5,,,3,3,,0.84
140,51,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,1,3,1,3,3,1,0.03
176,23,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,0,7,3,1,2,3,1,0.03
1845,31,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Solteiro,0,1,9,3,3,2,3,3,1.0
1049,44,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,3,0,3,3,3,3,3,1.0
1503,45,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,1,3,3,1,2,3,1,0.03
680,22,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,0,2,2,2,3,2,0.84
584,27,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,7,2,2,2,3,2,0.84
1870,21,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,1,3,5,3,3,2,3,3,1.0
